game_id,player_name,clutches,aces
39,aspas,0,0
39,kiNgg,1,0
40,liazzi,1,0
40,artzin,1,0
40,mazin,1,0
40,rich,0,0
40,Palla,0,0
40,xand,0,0
40,nzr,1,0
40,mwzera,0,0
40,Khalil,0,0
40,havoc,0,0
41,liazzi,0,0
41,artzin,1,0
41,mazin,0,0
41,rich,1,0
41,Palla,1,0
41,xand,0,0
41,nzr,0,0
41,mwzera,0,0
41,Khalil,0,0
41,havoc,1,0
42,crashies,0,0
42,Victor,0,0
42,FiNESSE,0,0
42,s0m,0,0
42,Ethan,0,0
42,moose,0,0
42,vanity,0,0
42,Xeppaa,0,0
42,runi,0,0
42,OXY,0,0
43,crashies,0,0
43,Victor,0,0
43,FiNESSE,0,0
43,s0m,1,0
43,Ethan,1,0
43,moose,1,0
43,vanity,2,0
43,Xeppaa,1,0
43,runi,0,0
43,OXY,0,0
44,crashies,0,0
44,Victor,0,0
44,FiNESSE,0,0
44,s0m,0,0
44,Ethan,1,0
44,moose,1,0
44,vanity,0,0
44,Xeppaa,0,0
44,runi,0,0
44,OXY,0,0
45,supamen,0,0
45,Derrek,0,0
45,jawgemo,0,0
45,NaturE,0,0
45,Apoth,2,0
45,Asuna,1,0
45,Boostio,0,0
45,eeiu,1,0
45,bang,0,0
45,Cryocells,0,0
46,supamen,0,0
46,Derrek,0,0
46,jawgemo,0,0
46,NaturE,1,0
46,Apoth,1,0
46,Asuna,0,0
46,Boostio,0,0
46,eeiu,0,0
46,bang,0,0
46,Cryocells,2,0
47,supamen,0,0
47,Derrek,1,0
47,jawgemo,0,0
47,NaturE,0,0
47,Apoth,0,0
47,Asuna,1,0
47,Boostio,0,0
47,eeiu,0,0
47,bang,0,0
47,Cryocells,0,0
