game_id,player_name,team_abrev,kills,deaths,assists,adr,fk,fd
37,Melser,KRÜ,15,14,5,146,1,1
37,keznit,KRÜ,13,15,4,157,3,5
37,mta,KRÜ,9,16,10,94,4,0
37,heat,KRÜ,7,16,8,85,0,1
38,pANcada,LOUD,18,16,15,146,4,1
38,Less,LOUD,15,18,5,99,2,1
38,cauanzin,LOUD,17,21,6,142,4,2
38,tuyz,LOUD,13,19,3,111,3,5
38,saadhak,LOUD,8,17,10,68,0,2
38,C0M,LEV,23,14,8,164,5,1
38,tex,LEV,22,16,5,162,1,3
38,kiNgg,LEV,18,12,11,112,1,1
38,Mazino,LEV,16,14,15,133,0,4
38,aspas,LEV,12,15,9,107,4,4
39,cauanzin,LOUD,17,14,3,170,4,2
39,tuyz,LOUD,10,16,9,101,2,1
39,Less,LOUD,11,16,2,105,2,1
39,saadhak,LOUD,9,17,8,91,2,3
39,pANcada,LOUD,10,18,0,89,1,1
39,aspas,LEV,25,12,3,230,4,5
39,tex,LEV,20,11,2,159,1,2
39,kiNgg,LEV,16,10,3,134,1,2
39,Mazino,LEV,15,13,6,136,1,1
39,C0M,LEV,5,11,5,66,1,1
40,artzin,MIBR,24,16,1,175,2,3
40,liazzi,MIBR,15,17,9,114,0,1
40,rich,MIBR,16,19,7,120,2,3
40,Palla,MIBR,12,19,5,136,3,6
40,mazin,MIBR,9,19,2,80,3,0
40,Khalil,FUR,23,14,10,172,2,0
40,havoc,FUR,23,14,5,184,4,3
40,xand,FUR,18,17,19,142,4,1
40,mwzera,FUR,19,18,8,167,3,5
40,nzr,FUR,7,13,6,76,0,1
41,artzin,MIBR,18,15,3,159,4,1
41,rich,MIBR,15,17,6,139,2,4
41,Palla,MIBR,15,17,0,117,2,3
41,mazin,MIBR,8,15,5,84,1,1
41,liazzi,MIBR,6,17,2,67,0,2
41,Khalil,FUR,24,12,6,215,2,1
41,mwzera,FUR,19,12,2,161,5,0
41,nzr,FUR,16,13,4,151,1,1
41,havoc,FUR,12,12,5,129,3,4
41,xand,FUR,10,13,3,90,0,3
42,Ethan,NRG,15,7,10,132,0,1
42,Victor,NRG,14,8,2,159,3,4
42,s0m,NRG,14,7,7,149,2,1
42,FiNESSE,NRG,13,10,4,109,2,0
42,crashies,NRG,8,9,4,118,2,1
42,Xeppaa,C9,9,14,8,162,1,1
42,runi,C9,8,11,1,83,0,1
42,vanity,C9,10,14,3,134,2,3
42,moose,C9,6,10,1,68,2,0
42,OXY,C9,8,15,3,106,2,4
43,s0m,NRG,18,15,6,145,1,3
43,FiNESSE,NRG,17,17,12,161,0,0
43,Ethan,NRG,14,18,13,135,1,1
43,crashies,NRG,13,17,8,113,1,3
43,Victor,NRG,16,21,3,121,8,5
43,OXY,C9,33,17,4,234,7,2
43,vanity,C9,18,13,8,133,3,4
43,moose,C9,13,16,4,128,1,1
43,Xeppaa,C9,16,15,5,120,1,4
43,runi,C9,8,17,9,85,0,0
44,s0m,NRG,24,18,16,160,4,1
44,Ethan,NRG,16,16,10,118,1,2
44,FiNESSE,NRG,15,21,12,120,5,2
44,Victor,NRG,18,17,5,119,4,4
44,crashies,NRG,16,16,10,101,0,3
44,vanity,C9,21,19,9,164,3,3
44,OXY,C9,23,20,3,165,4,4
44,moose,C9,17,15,5,117,3,1
44,runi,C9,21,19,6,133,2,4
44,Xeppaa,C9,6,16,9,57,0,2
45,Derrek,EG,15,18,10,118,0,1
45,jawgemo,EG,20,19,7,156,5,7
45,supamen,EG,19,16,6,129,1,2
45,NaturE,EG,12,17,8,91,1,2
45,Apoth,EG,11,16,4,104,1,3
45,eeiu,100T,20,15,10,159,1,0
45,Asuna,100T,20,16,10,173,5,2
45,Boostio,100T,16,17,4,132,2,2
45,bang,100T,12,14,6,116,2,3
45,Cryocells,100T,18,15,5,109,5,1
46,NaturE,EG,19,16,11,143,2,3
46,supamen,EG,19,14,6,149,2,1
46,Derrek,EG,14,14,9,109,2,1
46,Apoth,EG,17,17,13,125,3,1
