player_name,game_id,kills,deaths,assists,adr,fk,fd,clutches,aces
FiNESSE,23,9.0,20.0,6.0,96.0,2.0,2.0,0,0
JonahP,23,16.0,11.0,13.0,134.0,1.0,1.0,1,0
trent,23,17.0,16.0,7.0,160.0,4.0,2.0,0,0
valyn,23,13.0,13.0,9.0,135.0,1.0,0.0,2,0
leaf,23,15.0,14.0,3.0,141.0,3.0,3.0,0,0
icy,23,15.0,13.0,1.0,126.0,3.0,3.0,0,0
zekken,24,19.0,10.0,3.0,169.0,7.0,1.0,1,0
Zellsis,24,13.0,7.0,10.0,118.0,0.0,1.0,1,0
TenZ,24,13.0,9.0,8.0,130.0,1.0,1.0,0,0
johnqt,24,15.0,11.0,2.0,128.0,3.0,1.0,0,0
Sacy,24,8.0,9.0,9.0,92.0,1.0,2.0,0,0
moose,24,8.0,11.0,2.0,77.0,0.0,1.0,1,0
Xeppaa,24,10.0,13.0,7.0,117.0,2.0,1.0,0,0
runi,24,10.0,14.0,10.0,92.0,0.0,1.0,0,0
OXY,24,12.0,16.0,2.0,128.0,2.0,6.0,0,0
vanity,24,6.0,14.0,4.0,65.0,2.0,3.0,0,0
Zellsis,25,18.0,11.0,4.0,152.0,0.0,2.0,0,0
zekken,25,21.0,14.0,3.0,192.0,9.0,4.0,0,0
johnqt,25,11.0,10.0,3.0,89.0,0.0,0.0,1,0
Sacy,25,10.0,12.0,10.0,104.0,1.0,3.0,0,0
TenZ,25,11.0,14.0,9.0,127.0,1.0,2.0,0,0
Xeppaa,25,17.0,13.0,8.0,147.0,3.0,1.0,0,0
vanity,25,15.0,14.0,6.0,141.0,2.0,4.0,0,0
moose,25,11.0,13.0,3.0,86.0,2.0,2.0,1,0
runi,25,10.0,15.0,5.0,104.0,1.0,1.0,0,0
OXY,25,6.0,16.0,5.0,77.0,2.0,2.0,0,0
Apoth,26,12.0,14.0,1.0,121.0,2.0,2.0,0,0
jawgemo,26,10.0,16.0,7.0,114.0,1.0,2.0,1,1
supamen,26,9.0,20.0,2.0,104.0,3.0,4.0,0,0
Derrek,26,6.0,14.0,2.0,71.0,0.0,2.0,0,0
NaturE,26,6.0,17.0,0.0,61.0,0.0,2.0,0,0
aspas,26,23.0,8.0,2.0,222.0,5.0,1.0,0,0
Mazino,26,21.0,10.0,7.0,196.0,4.0,3.0,0,0
kiNgg,26,16.0,7.0,8.0,169.0,1.0,0.0,0,0
C0M,26,14.0,8.0,4.0,156.0,0.0,1.0,0,0
tex,26,7.0,10.0,3.0,79.0,2.0,1.0,0,0
Derrek,27,23.0,16.0,5.0,192.0,1.0,2.0,1,0
supamen,27,19.0,19.0,4.0,156.0,4.0,5.0,0,0
NaturE,27,12.0,15.0,13.0,95.0,0.0,0.0,0,0
jawgemo,27,16.0,19.0,9.0,135.0,1.0,4.0,0,0
Apoth,27,10.0,19.0,9.0,120.0,2.0,4.0,1,0
aspas,27,25.0,17.0,5.0,200.0,4.0,2.0,0,0
Mazino,27,20.0,14.0,11.0,134.0,3.0,1.0,1,0
kiNgg,27,17.0,12.0,13.0,130.0,2.0,1.0,1,0
C0M,27,11.0,17.0,10.0,121.0,2.0,2.0,0,0
tex,27,15.0,20.0,8.0,112.0,4.0,2.0,0,0
pANcada,28,28.0,13.0,5.0,208.0,2.0,3.0,1,0
cauanzin,28,20.0,18.0,6.0,155.0,5.0,1.0,1,0
saadhak,28,15.0,16.0,5.0,137.0,3.0,7.0,0,0
tuyz,28,13.0,15.0,11.0,99.0,0.0,1.0,0,0
Less,28,13.0,17.0,2.0,116.0,1.0,1.0,0,0
mwzera,28,25.0,19.0,7.0,184.0,5.0,2.0,0,0
