player_id,series_id,game_id,agent,agent_role,kills,deaths,assists,fk,fd,clutches,aces,adr,points
16,5,10,Jett,Duelist,22.0,18.0,2.0,6.0,3.0,0,0,145.0,37.5
42,5,10,Killjoy,Sentinel,15.0,16.0,4.0,2.0,1.0,0,0,116.0,23.6
56,5,10,Omen,Controller,14.0,19.0,11.0,3.0,5.0,0,0,106.0,21.6
55,5,11,Harbor,Controller,15.0,12.0,7.0,2.0,1.0,0,0,146.0,30.1
53,5,11,Sova,Initiator,11.0,13.0,5.0,2.0,2.0,0,1,108.0,22.8
39,5,11,Killjoy,Sentinel,11.0,15.0,3.0,1.0,3.0,0,0,135.0,17.5
9,5,11,Viper,Controller,10.0,15.0,3.0,1.0,2.0,0,0,106.0,14.600000000000001
34,5,11,Gekko,Initiator,9.0,15.0,6.0,2.0,2.0,0,0,104.0,16.9
48,5,11,Sova,Initiator,18.0,8.0,4.0,2.0,0.0,1,0,166.0,38.6
42,5,11,Killjoy,Sentinel,13.0,8.0,5.0,1.0,1.0,1,0,156.0,30.1
16,5,11,Reyna,Duelist,14.0,14.0,3.0,6.0,4.0,0,0,142.0,30.700000000000003
24,5,11,Gekko,Initiator,15.0,13.0,3.0,0.0,3.0,0,0,156.0,22.6
56,5,11,Viper,Controller,10.0,13.0,5.0,1.0,0.0,0,0,109.0,18.9
39,5,12,Killjoy,Sentinel,19.0,12.0,8.0,1.0,3.0,1,0,181.0,36.1
53,5,12,Fade,Initiator,15.0,11.0,6.0,2.0,1.0,0,0,125.0,28.0
9,5,12,Viper,Controller,15.0,11.0,4.0,3.0,1.0,0,0,103.0,26.8
34,5,12,Raze,Duelist,14.0,13.0,5.0,1.0,0.0,0,0,123.0,24.3
55,5,12,Omen,Controller,11.0,14.0,8.0,6.0,3.0,0,0,106.0,27.6
56,5,12,Omen,Controller,21.0,16.0,7.0,3.0,2.0,0,0,176.0,38.1
16,5,12,Raze,Duelist,18.0,16.0,7.0,3.0,3.0,1,0,167.0,35.2
48,5,12,Breach,Initiator,9.0,12.0,8.0,1.0,1.0,0,0,83.0,16.3
42,5,12,Cypher,Sentinel,7.0,14.0,1.0,0.0,2.0,0,0,80.0,6.5
24,5,12,Gekko,Initiator,6.0,16.0,5.0,1.0,5.0,0,0,70.0,4.5
51,6,13,Omen,Controller,23.0,8.0,4.0,2.0,1.0,1,0,215.0,47.5
1,6,13,Brimstone,Controller,18.0,8.0,12.0,2.0,4.0,0,0,158.0,35.8
35,6,13,Raze,Duelist,18.0,10.0,8.0,2.0,0.0,0,0,200.0,41.0
6,6,13,Gekko,Initiator,14.0,11.0,7.0,4.0,1.0,0,0,132.0,32.2
15,6,13,Skye,Initiator,10.0,11.0,6.0,1.0,1.0,0,0,116.0,20.1
